                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.86629,                  1.202,                 1.0897,                0.95461,                0.93609,                0.98406,                0.82024,                 0.6887,                 0.7074,                0.95508,              0.0078715,              0.0078715,              0.0078715
                     88,                0.81688,                 1.0455,                 1.0014,                0.95142,                0.94276,                0.98163,                0.80378,                0.75249,                0.70663,                 0.9854,              0.0078467,              0.0078467,              0.0078467
                     89,                0.75635,                  1.003,                 1.0164,                0.97098,                0.96811,                0.99269,                0.84201,                0.60862,                0.63977,                0.93092,               0.007822,               0.007822,               0.007822
                     90,                 0.7694,                  1.026,                 1.0034,                0.96004,                0.92691,                0.98729,                0.80065,                0.72543,                0.67579,                0.99988,              0.0077973,              0.0077973,              0.0077973
                     91,                 0.8321,                 1.1327,                  1.082,                0.94365,                0.94105,                0.98419,                0.81883,                0.68387,                0.65271,                0.97335,              0.0077725,              0.0077725,              0.0077725
                     92,                0.81716,                 1.0509,                   1.04,                0.91014,                0.92915,                0.98443,                0.82771,                0.70725,                0.70671,                 0.9762,              0.0077478,              0.0077478,              0.0077478
                     93,                0.86321,                 1.1752,                 1.1106,                 0.9332,                0.88035,                0.97644,                0.80566,                0.75475,                0.76906,                 1.0099,               0.007723,               0.007723,               0.007723
                     94,                0.76947,                0.99453,                0.99045,                 0.9245,                0.96943,                0.98874,                0.81845,                0.69709,                0.63132,                0.97514,              0.0076983,              0.0076983,              0.0076983
                     95,                0.80458,                 1.0049,                 1.0578,                0.95432,                0.94929,                0.98457,                0.79716,                0.69501,                0.62498,                0.97266,              0.0076735,              0.0076735,              0.0076735
                     96,                0.79881,                0.99013,                 1.0167,                0.90925,                0.92787,                0.96423,                 0.8021,                0.67421,                  0.694,                0.96427,              0.0076488,              0.0076488,              0.0076488
                     97,                0.81177,                 1.0739,                 1.0494,                 0.8322,                  0.894,                0.92482,                0.75459,                 0.7533,                0.85478,                 1.0023,               0.007624,               0.007624,               0.007624
                     98,                0.76015,                0.98924,                 1.0387,                0.90578,                0.88345,                0.95454,                0.78982,                0.69797,                0.72392,                0.97149,              0.0075993,              0.0075993,              0.0075993
                     99,                0.74627,                0.97608,                 1.0299,                 0.9678,                0.95653,                0.98434,                0.83292,                 0.6566,                0.59549,                0.95156,              0.0075745,              0.0075745,              0.0075745
                    100,                0.84983,                 1.0492,                 1.0857,                0.93185,                 0.9652,                0.98088,                0.80546,                0.73426,                0.61357,                0.98114,              0.0075498,              0.0075498,              0.0075498
                    101,                0.74893,                0.96495,                 1.0095,                 0.9343,                 0.9744,                0.98974,                 0.8247,                0.69161,                0.59868,                0.96193,               0.007525,               0.007525,               0.007525
                    102,                 0.8256,                 1.1084,                 1.0484,                0.97054,                0.98284,                0.99413,                0.83686,                0.68928,                0.55579,                0.95233,              0.0075003,              0.0075003,              0.0075003
                    103,                0.74181,                0.95961,                 1.0148,                0.95679,                0.95511,                0.99216,                0.84901,                0.58447,                0.53372,                0.91414,              0.0074755,              0.0074755,              0.0074755
                    104,                0.74775,                0.93302,                 1.0148,                0.93908,                0.97834,                0.99146,                0.84755,                0.59837,                0.54872,                0.91693,              0.0074507,              0.0074507,              0.0074507
                    105,                0.78677,                0.93041,                 1.0381,                0.98876,                0.98174,                0.99389,                0.83166,                0.65234,                0.52822,                0.95232,               0.007426,               0.007426,               0.007426
                    106,                0.77112,                0.87805,                 1.0045,                0.95284,                0.98958,                0.99361,                0.82961,                 0.6426,                0.53421,                0.95075,              0.0074013,              0.0074013,              0.0074013
